Date,Item,T1-1,T1-2,T1-3,T2-1,T2-2,T2-3,T3-1,T3-2,T3-3,T4-1,T4-2,T4-3,Type,Delta,Time,ValVN30,VolMax5m
8/2/2023,Trend,921,291,291,192,291,291,129,192,192,192,192,921,LT0,-2,2:25:00 PM,6.432,9804
8/3/2023,Trend,291,219,912,192,921,921,921,291,291,291,291,291,LT10,-9.6,2:05:00 PM,7.51,17726
8/4/2023,Trend,129,192,192,192,192,192,921,192,129,192,192,192,GT10,26.2,2:15:00 PM,9.32,9705
8/7/2023,Trend,192,192,192,192,921,921,291,291,291,129,129,129,GT5,15.6,2:20:00 PM,8.222,10685
8/8/2023,Trend,192,912,291,291,291,129,921,921,921,129,291,291,LT10,-2.2,2:20:00 PM,6.95,13943
8/9/2023,Trend,129,291,291,921,921,921,291,291,219,291,291,129,LT5,-8,2:25:00 PM,7.667,13863
8/10/2023,Trend,192,291,291,291,291,219,921,921,921,291,291,291,LT10,-14,2:10:00 PM,6.341,12076
8/11/2023,Trend,219,129,129,291,291,291,129,129,129,192,192,192,GT5,13.5,2:15:00 PM,7.819,14769
8/14/2023,Trend,192,912,921,192,192,192,912,192,921,921,192,192,GT5,-0.4,2:15:00 PM,7.458,12097
8/15/2023,Trend,291,219,291,291,291,291,129,129,192,912,192,192,LT0,1.9,2:20:00 PM,6.213,9020
8/16/2023,Trend,129,192,192,192,192,912,921,921,912,129,129,192,GT10,14.3,2:05:00 PM,8.285,10749
8/17/2023,Trend,912,921,192,192,192,192,129,192,921,921,291,291,LT0,-1.8,2:00:00 PM,9.652,9317
8/18/2023,Trend,921,291,291,219,291,291,921,921,291,921,291,291,LT20,-58.8,2:20:00 PM,13.414,17210
8/21/2023,Trend,291,219,912,129,129,129,921,921,129,921,921,291,LT0,2.9,2:15:00 PM,8.257,15246
8/22/2023,Trend,291,291,291,291,291,291,129,129,192,192,912,192,GT0,5.1,1:25:00 PM,8.176,18646
8/23/2023,Trend,192,912,291,291,291,291,921,921,921,192,192,291,LT10,-15.4,2:05:00 PM,7.448,20017
8/24/2023,Trend,291,291,129,192,192,912,192,192,192,192,912,192,GT10,17.4,2:20:00 PM,6.525,13290
8/25/2023,Trend,921,219,219,921,921,291,129,129,912,192,912,192,GT0,-3.5,10:30:00 AM,6.414,12681
8/28/2023,Trend,129,192,912,129,129,129,192,192,192,192,192,192,GT5,16.5,1:10:00 PM,6.579,19269
8/29/2023,Trend,192,921,921,291,291,291,192,192,192,192,192,912,LT0,0.8,2:15:00 PM,6.947,9396
8/30/2023,Trend,192,192,912,129,192,921,129,192,192,192,192,192,GT5,12.4,2:25:00 PM,7.312,10004
8/31/2023,Trend,192,192,192,192,912,912,129,129,192,921,921,291,GT5,8.8,2:25:00 PM,6.477,9322
9/5/2023,Trend,129,192,192,192,192,192,291,921,921,291,291,291,GT0,10.11,2:00:00 PM,8.011,7573
9/6/2023,Trend,291,921,129,921,291,291,129,192,192,192,192,192,GT20,20.5,2:00:00 PM,8.156,11096
9/7/2023,Trend,192,192,192,921,921,921,219,921,921,921,291,219,LT5,-7.8,1:50:00 PM,8.569,10085
9/8/2023,Trend,129,129,192,921,912,129,921,921,921,291,921,192,LT5,-5.3,2:15:00 PM,7.957,12123
9/11/2023,Trend,129,921,291,291,291,291,921,921,291,921,921,921,LT20,-16.9,2:25:00 PM,10.46,14810
9/12/2023,Trend,219,219,129,192,192,192,129,129,129,129,192,192,GT20,24,2:15:00 PM,7.017,13197
9/13/2023,Trend,192,912,921,291,219,129,192,192,192,921,921,921,LT10,-12,2:15:00 PM,9.883,20800
9/14/2023,Trend,291,129,921,921,291,291,291,291,291,129,291,291,LT10,-10,2:05:00 PM,9.43,15158
9/15/2023,Trend,129,192,192,921,921,291,219,192,192,921,921,921,GT0,5.5,2:15:00 PM,8.791,10445
9/18/2023,Trend,291,291,291,291,291,291,129,912,192,192,921,921,LT10,-18.5,2:15:00 PM,6.399,13726
9/19/2023,Trend,192,912,912,291,291,291,129,192,192,921,129,129,GT0,0,2:20:00 PM,7.166,16618
9/20/2023,Trend,129,192,219,129,192,192,192,192,192,192,192,192,GT10,9.6,10:30:00 AM,6.091,18466
9/21/2023,Trend,921,921,291,291,291,129,921,921,921,921,291,291,LT10,-11,2:15:00 PM,8.2,8572
9/22/2023,Trend,921,291,291,291,219,219,192,192,192,192,192,192,GT0,-22.5,2:15:00 PM,11.254,13410
9/25/2023,Trend,921,291,192,192,192,192,291,921,291,291,291,291,LT20,-30.1,2:15:00 PM,7.908,12317
9/26/2023,Trend,291,291,129,921,291,291,129,912,192,912,921,921,LT5,-10.9,2:20:00 PM,7.086,15162
9/27/2023,Trend,291,291,291,219,291,291,192,192,912,192,192,192,GT5,12.1,2:05:00 PM,5.818,11467
9/28/2023,Trend,192,291,291,291,291,129,192,192,192,192,192,192,LT0,-1.2,2:15:00 PM,5.893,15314
9/29/2023,Trend,192,192,192,129,291,291,291,291,291,129,291,291,GT0,-1.9,2:00:00 PM,4.632,12496
